externalid,DocumentId,Group ID,Name,FirstSegment
1,8,1,SYS,1
2,8,1,OW_ENTETE,0
3,8,1,OW_REF,0
4,8,1,OW_DATES,0
5,8,1,OW_MESSAGES,0
6,8,1,OW_LONG_MESSAGES,0
7,8,1,OW_WHS_CARRIER,0
8,8,1,OW_SOMMAIRE,0
9,8,2,OW_NOM,1
10,8,2,OW_NOM_SUP,0
11,8,2,OW_ADRESSE,0
12,8,2,OW_NOM_LOC_GEO,0
13,8,3,OW_NOM_CONTACT,1
14,8,3,OW_NOM_ENTITE_COM,0
15,8,4,OW_COM_CONTACT,1
16,8,4,OW_ENTITE_COM,0
17,8,5,OW_ENTETE_ITEM,1
18,8,6,OW_INFO_ITEM,1
19,8,6,OW_ITEM_NOTE,0
20,8,6,OW_ITEM_PHYS_DET,0
21,8,6,OW_ITEM_AMOUNT,0
22,8,6,OW_ITEM_DATES,0
23,8,6,OW_CODE_PRODUIT,0
24,8,6,OW_DESC_ITEM,0
25,8,6,OW_REF_ITEM,0
26,8,6,OW_DESTINATIONQTE,0
27,8,7,OW_ITM_NOM,1
28,8,7,OW_ITM_NOM_SUP,0
29,8,7,OW_ITM_NOM_ADRESSE,0
30,8,7,OW_ITM_NOM_LOC_GEO,0
31,8,8,OW_SOUS_ITEM,1
32,8,8,OW_CODE_SOUS_ITEM,0
33,8,8,OW_DESC_SOUS_ITEM,0
34,8,8,OW_DATES_S_ITEM,0
