externalid,DocumentId,Group ID,Name,FirstSegment
1,9,1,SYS,1
2,9,1,SW_ENTETE,0
3,9,1,SW_REF,0
4,9,1,SW_DATES,0
5,9,1,SW_DTM_DATES,0
6,9,1,SW_MESSAGES,0
7,9,1,SW_TRANSPORTEUR,0
8,9,1,SW_TRANSP_SUPP,0
9,9,1,SW_SAC_ENTETE,0
10,9,1,SW_SOMMAIRE,0
11,9,2,SW_NOMS,1
12,9,2,SW_ADRESSE_SUP,0
13,9,2,SW_NOM_LOC_GEO,0
14,9,3,SW_COM_CONTACT,1
15,9,3,SW_ENTITE_COM,0
16,9,4,SW_ENTETE_ITEM,1
17,9,4,SW_MAN_ITEM,0
18,9,4,SW_INFO_PALETTE,0
19,9,5,SW_INFO_ITEM,1
20,9,5,SW_CODEPRODUIT,0
21,9,5,SW_DESC_ITEM,0
22,9,5,SW_REF_ITEM,0
23,9,5,SW_DATE_ITEM,0
24,9,5,SW_MESURE_ITEM,0
25,9,5,SW_PALETTE_IND,0
26,9,6,SW_ITM_NOMS,1
27,9,7,SW_SOUS_ITEM,1
28,9,7,SW_CODE_SOUS_ITEM,0
29,9,7,SW_DESC_SOUS_ITEM,0
30,9,7,SW_DATES_S_ITEM,0
31,9,8,SW_BATCH_LX,1
32,9,8,SW_BATCH_NUM,0
33,9,8,SW_BATCH_LOT,0
34,9,8,SW_BATCH_QTY,0
35,9,8,SW_BATCH_DATE,0
36,9,8,SW_BATCH_LOCATION,0
